UNITID,F1A13,F1A18
138354,24055792,215795540
138372,,
138479,,
138488,,
138497,,
138558,51970968,31041238
138682,1849372,22220231
138691,6016094,41566779
138716,38393551,97723159
138789,83766371,65642541
138840,1993344,15382383
138901,2525201,15543874
138956,1927675,34017427
138983,40575473,79705720
139010,4136319,36760933
139250,2543104,36334227
139278,2988430,54692559
139311,52703426,64011309
139357,1563627,15902973
139366,72604792,83318369
139384,5077884,35470499
139463,9686120,28675407
139621,2098848,21976117
139700,3304695,41796308
139719,72412053,64525276
139746,,
139755,667885837,1156377293
139764,45877442,44778187
139773,17327924,41423016
139861,121890998,65550888
139904,11036050,44028780
139931,210668112,297062797
139940,388295121,504479206
139959,399183165,1423241715
139968,37740818,37753393
139986,1941258,22588815
140012,6703260,37327585
140076,1093235,22246809
140085,1565483,21628436
140164,156983680,171184800
140243,3765734,26175006
140304,1669332,36574423
140322,6311464,80302171
140331,5461366,72436472
140401,151729868,337146810
140483,66212997,76742871
140599,1802707,31301045
140669,53088457,87923387
140678,1714545,31154484
140942,2157321,44930482
140960,58750029,75748255
140997,17273654,12469204
141006,1370897,22599384
141097,63873445,64829593
141158,742823,24835304
141255,2684966,43322897
141264,232025303,131688935
141307,1018517,10658088
141334,129504267,128319439
141565,44962199,191421086
141574,475685503,685356332
141680,5977075,16997311
141796,10201180,61763778
141802,2704702,11291364
141811,9840070,11335340
141839,6700681,80770455
141963,267278567,359110739
141981,22306086,49582709
141990,3346224,73853886
142115,291766549,295224780
142179,1119119,27106758
142276,103031624,169536346
142285,208254578,380286428
142328,16210179,56055093
142443,26393038,35090162
142559,9650666,79755764
143215,75317484,76398542
143279,32861597,62080343
143613,39398263,14718079
144005,39106805,134717190
144157,,
144166,,
144175,,
144184,,
144193,,
144209,,
144218,,
144500,164784671,793918693
144564,4741317,49964501
144865,331006657,292082346
144892,179928338,197960707
144944,165244483,89931176
145336,48877968,78188998
145521,15305538,25135631
145600,1106709542,1109476193
145637,1270770067,1399100265
145682,100548614,139570933
145707,,
145813,178977195,419818204
145831,13745334,57230625
146205,33939091,60399091
146278,17071263,31113092
146296,199174598,85260671
146348,21212177,29706469
146366,32368289,35438849
146418,29121247,34759038
146472,109753540,133522359
146506,35502591,58669972
146603,130145207,79935782
146685,74489642,61632918
147004,38902856,55797690
147378,114172009,165269305
147411,16754169,34650644
147703,238231834,254288466
147776,50200622,111829457
147800,81959764,146066951
147916,87453497,70616832
148007,26664002,31426254
148256,21029394,24660756
148292,18202370,30998057
148380,109954305,51420664
148654,76000931,65899955
148672,6400528,32157018
148821,10426379,20888558
148937,11492682,12232841
148991,20313693,3193706
149222,310744163,374456143
149231,204484254,171052970
149240,1124558,342210
149365,41396638,16744898
149532,21579484,60329622
149587,342783067,211069663
149727,130663357,82517239
149772,97760037,140792829
149842,259363128,197691468
150136,236324602,628765557
150978,33481978,26070255
150987,62972357,20423037
150996,2070008,16404565
151005,23519065,15318411
151014,9388922,1195982
151023,10607707,35577230
151032,35205417,20480362
151041,22652730,1815815
151050,35719618,26896932
151069,27259459,16093348
151078,25265016,25534822
151087,41301381,28081274
151096,20005345,9788612
151102,162252584,125744510
151111,517538023,920994882
151306,169023634,120298191
151324,142399341,319762993
151333,18990371,26285179
151342,70942126,84385264
151351,895298982,1534887071
151360,30362805,45047622
151379,57977844,47687644
151388,12230222,17579385
151537,,
152248,76773439,102493720
152266,2741646,25619273
152637,85734229,219946711
153214,157404786,98588207
153296,20621833,10294378
153311,94325701,69608483
153445,46459202,70097851
153472,26142940,56214009
153524,54435362,31207150
153533,19949219,29586937
153603,705785411,995687908
153630,95950770,45446168
153658,1526134000,2611708000
153737,140210907,103165020
153922,35112852,17528264
154059,19546259,32805143
154095,184651958,324535024
154110,89724452,21806469
154129,16783157,23365524
154378,24544462,24159643
154396,19200858,16241094
154572,33257477,38020550
154642,5176348,16055418
154697,10786157,23057578
154800,19221036,40752403
154907,8222610,13661873
154925,10977493,5001905
154934,6682735,5000875
154952,14581128,27067014
154998,6640339,12551637
155025,36094613,69205744
155052,616206,3157100
155061,22919595,95099045
155098,5013205,11992911
155104,15693533,18849284
155140,1,0
155186,4372317,13550438
155195,28782345,43612433
155201,9133510,6394004
155210,64170162,213950604
155292,16948471,33862799
155317,574019429,933777159
155399,321534681,447492782
155423,,
155450,3009712,11177053
155487,1091023,2955822
155566,9946191,7109108
155593,1156543,6857372
155618,504642,12584681
155681,49695779,102421790
155715,7825176,12521980
155830,338175,15152437
155858,11525896,36113977
156082,38199797,131687814
156107,9535029,7551969
156125,70839012,190027455
156231,,
156338,,
156392,,
156620,105363912,253006090
156648,,
156790,,
156851,,
156860,,
156921,,
157058,17981262,105396228
157085,1154663712,2389976953
157289,480004000,772347000
157304,,
157331,,
157386,75099066,168362082
157401,77044399,207764186
157438,,
157447,137908000,274900000
157483,,
157553,,
157711,,
157739,,
157854,164932392,824670328
157951,176928598,352980014
158088,7235923,-284243
158352,6662534,-1650510
158431,14468445,-7659688
158662,50783667,31996839
158769,3979986,4687281
158884,5371793,16024005
159009,140039829,72950825
159373,131705174,267638230
159382,15276877,15489986
159391,813153117,671242333
159407,14311383,13776564
159416,11037542,27189409
159443,12216248,5706987
159638,11964485,74668322
159647,134519859,161366259
159717,59215480,76204580
159939,126125712,136646125
159966,92340920,52997235
159993,124072810,85770860
160010,7372188,5652797
160038,41287673,70061859
160481,3473034,4557194
160533,3334896,-1717988
160579,5828898,6745742
160612,144777979,91195058
160621,128570302,106419452
160630,54730370,47436132
160649,25872612,5281347
160658,106761214,274397617
160667,4996145,-488648
160913,5833002,2461449
161077,7415023,16425422
161138,7826993,22426539
161192,3475344,12249002
161217,5694000,38816000
161226,15540000,51796000
161235,9175000,11112000
161244,7004000,10079000
161253,123616000,360109000
161280,83997000,67147000
161299,7174983,46611191
161341,3791000,24492000
161484,1645954,12534458
161545,16636179,32565163
161554,103254000,143655000
161581,795334,12641618
161688,4736505,36604339
161767,32989124,82261966
161864,11290389,85017783
161873,48613079,60426657
162007,26470175,110828750
162104,5394537,52395116
162122,13878303,89771773
162168,5731194,51826518
162283,36969299,239410207
162557,4684217,67878678
162584,27554430,74315902
162609,3232537,15906391
162690,6702095,64570095
162706,6962082,93476036
162779,26385022,157827395
163204,67352167,277588135
163259,305415691,743323539
163268,135456359,195177473
163286,561832792,1492754410
163338,68308149,133972132
163426,87734452,377812237
163453,104701465,284648655
163657,19004773,128287517
163851,74030323,228737189
163912,50635914,116724458
164076,148518382,435611907
164146,183333077,156752614
164155,,
164313,8160436,62306473
164535,,
164775,4429724,9705218
165024,67732281,72808406
165033,7614731,27846650
165112,19898205,32376659
165194,6579926,17169356
165608,,
165820,25895542,66941564
165866,37652706,63509572
165981,4053799,23298571
166133,13880897,33889190
166513,218475000,182289000
166629,762530000,815916000
166638,201303000,223634000
166647,5960236,14642095
166665,131595000,87762000
166674,20778464,27163761
166692,13131292,42258293
166708,547025198,447801504
166823,9175185,22274306
166887,18222543,32728743
166957,9614749,12941741
167288,9125890,25346468
167312,21082509,41874597
167376,8237568,19968389
167525,5235645,12290498
167534,12924968,33576776
167631,5823094,29544943
167729,30659560,70236330
167871,,
167905,17991344,33577042
167987,228869000,65119000
168263,17973570,55120861
168430,26493494,82517422
168607,4794165,16107962
168883,12616011,24031053
169248,259674436,545292205
169275,80857231,99929417
169521,7512379,141572941
169798,335635675,231072256
169910,162412476,250831671
169974,4903741,11659238
169992,5791749,9999972
170055,74643484,100087420
170082,328331371,538757542
170240,58481347,77107773
170444,49208941,48424369
170541,8322750,122847245
170550,15807231,56882353
170587,6142555,16189855
170620,11599072,49604548
170639,33219194,46934537
170657,77813280,130448653
170790,16322781,314964760
170976,4298007000,9016385000
171100,1375797861,2467778487
171128,100967000,200990000
171137,31351000,162468000
171146,23411000,184135000
171155,6328066,41936550
171225,3201824,40884482
171234,5849848,18844033
171304,26830663,27439357
171395,3958401,28928612
171456,135111461,219277330
171483,34215928,56328588
171535,30746573,363107032
171571,177020829,321080996
172051,161542547,201758300
172200,16303616,131117535
172291,9345619,52135727
172307,26367524,40993059
172422,,
172617,52751068,127096354
172635,35739332,222096097
172644,697678982,894726532
172671,3464581,33506538
172699,488712665,328175223
172918,12966000,24559000
172954,7191000,20833000
172963,18313000,48165000
173063,9147000,17957000
173115,3647000,7138000
173124,37026000,58972000
173203,14213000,30988000
173416,8843000,32107000
173461,12857000,31172000
173559,17714000,32370000
173638,8612000,14894000
173708,12588000,29472000
173735,8693000,20051000
173799,16079000,40442000
173805,7158000,8332000
173911,9254000,12701000
173920,120427000,187101000
173993,5341000,8498000
174020,29984000,57947000
174066,1526128112,2541181654
174075,3335776,41393366
174136,38903000,94074000
174233,41135447,353849970
174251,5930398,66923784
174358,62113000,89088000
174376,14920000,46556000
174428,38457000,54236000
174473,11844000,31675000
174570,3035000,6626000
174604,1213000,3262000
174738,16365000,66870000
174756,14665000,42575000
174783,93644000,163661000
175041,18472000,46127000
175078,35338000,65823000
175157,3079000,5832000
175236,12993000,28901000
175263,7847000,14822000
175272,92287000,150606000
175315,30371000,54160000
175342,61392729,130962993
175519,1580329,37209285
175573,11533450,37540924
175616,14028330,92865415
175643,3790485,20657594
175652,5791341,46574285
175786,61241185,132366382
175810,15207916,36390002
175829,21321321,79156960
175856,118367191,180222020
175883,23637415,68664550
175935,4702758,34352523
175999,33802660,61362662
176008,2830639,42131028
176017,197939376,722860789
176026,362936026,688266496
176035,5792109,91082123
176044,23487171,57071449
176071,63064034,122026689
176080,245221358,635367129
176169,4258912,40145870
176178,7242464,91268192
176239,9157040,88841419
176354,2270385,40253586
176372,205033460,378963822
176734,,
176798,,
176965,99672508,176783562
176983,,
177056,,
177135,8347414,37359628
177250,27201012,33587081
177436,,
177472,13129837,21986890
177551,22558899,38487661
177676,28564789,36070313
177807,,
177870,,
177940,33195880,75479043
177977,11928098,43100337
178129,121564911,123314689
178217,16006074,19525522
178341,35680417,84234244
178387,50356286,74883821
178396,1132787639,2305220075
178402,191999342,390424139
178411,91539588,339992137
