UNITID,F1A13,F1A18
220057,3193148,30128256
220075,178472986,202233449
220127,,
220251,,
220279,,
220321,,
220394,,
220400,11151660,18387970
220640,,
220756,,
220853,,
220862,173365235,357710101
220978,224720216,241841710
221050,,
221096,6646325,39646076
221102,,
221184,12401943,68666042
221236,,
221281,,
221333,,
221388,,
221397,9765689,46595057
221430,,
221485,17577181,124913537
221494,,
221582,,
221591,,
221607,,
221616,,
221625,,
221634,,
221643,12624177,69068015
221740,72820259,171006934
221759,830132644,2003844020
221768,93820345,90552964
221838,69279412,181027115
221847,58188822,116125064
221908,7522580,53499678
222053,12040132,51701240
222062,11214044,63128029
222497,670106181,277330848
222567,23596125,20799348
222576,78749794,99197660
222822,30549938,32531088
222831,98651402,186213877
222992,366433123,97204483
223214,66152025,402862147
223320,10636425,13191207
223427,73067140,81401799
223506,45701157,35942913
223524,70848908,40255097
223773,59437645,36143822
223816,30410999,171757833
223898,17878134,11162186
223922,8450259,14858349
224110,13517401,37101560
224147,54789988,192751068
224253,60193960,173649066
224350,145368694,76830100
224545,7214654,45506808
224554,59464278,157198399
224572,74708450,36487243
224615,83835866,27428898
224642,126396582,111512628
224891,6150892,13257759
224961,5501164,23450003
225070,66073202,36535516
225308,5607063,41582275
225371,9392047,24397620
225414,63058618,75876790
225423,715109661,267544695
225432,90026998,95492696
225502,61134421,25730351
225511,778157266,832798682
225520,29682149,33143569
226019,12036721,62872234
226091,65187221,227847857
226107,5105706,38013106
226116,5329578,25478183
226134,119134486,36410728
226152,20751340,179823210
226204,43631575,37909438
226408,10714249,24679213
226578,120320046,42528067
226806,60125772,75868607
226833,125036888,89138120
226930,62325277,27223741
227146,49686330,36436051
227182,712814688,223686560
227191,76019585,63511224
227216,513038715,513293260
227225,23300305,11039414
227304,29720791,30390244
227368,71917808,291974085
227377,159544630,229398573
227386,11679421,18383028
227401,22786090,29145106
227526,72546469,383244765
227687,1941419,3203527
227766,94762608,55553758
227854,,
227881,88339236,428287313
227924,,
227979,308421330,198304118
228158,9591522,48195377
228316,16674530,16093189
228431,286063315,131921291
228459,190179562,914178843
228501,12302634,82382308
228529,53287268,177670185
228547,99349951,870543286
228608,40865601,22094635
228635,275472320,3069081200
228644,152971641,1210414394
228653,313437585,1445950573
228671,1183747,14659067
228680,45532190,38528735
228699,4405903,33685645
228705,52430961,155174425
228714,16597914,106052858
228723,715080890,2318675406
228732,5364695985,-590337177
228769,125629734,801267113
228778,689585006,6258671820
228787,105400594,904147506
228796,99249694,733800737
228802,24478883,267345229
228909,113133335,163038258
229018,30617875,227431168
229027,162225366,924341797
229063,181797302,146873857
229090,15606505651,16883858129
229115,564215622,910244754
229179,151729088,328733933
229300,174223290,1211392648
229319,23922361,28603586
229328,14582221,14514037
229337,245241161,655010941
229355,102474919,72816748
229407,746647008,152844430
229504,13158027,15509338
229540,24164980,37900255
229799,13883842,45727366
229814,72676260,163970586
229832,15595723,13560286
229841,16079559,43610058
230010,,
230092,5397150,64302148
230162,1564206,35120776
230171,10776804,112269800
230490,,
230597,4935871,110540522
230603,34175214,147135304
230676,1017985,32975000
230728,221882507,720347202
230737,48663013,264340312
230746,36030433,256570464
230764,850175000,3131472000
230782,49711361,329928265
230834,,
230861,,
230913,,
230931,,
231156,180102242,71232579
231165,,
231174,643435000,466028000
231536,3895993,25936183
231624,249586164,429821460
231688,,
231697,4205495,15848673
231712,163709179,198758383
231873,1045772,7540054
231882,3738059,26405891
232052,811826,8813659
232186,705864973,509355641
232195,4926309,27800524
232414,15990810,64487476
232423,308987466,562331954
232450,5667897,58484829
232566,94022642,167421096
232575,4987177,34565341
232681,61080682,134081994
232788,2020239,20905289
232867,3387597,15774225
232937,73288856,126244135
232946,64024262,242170010
232982,351889338,323302103
233019,3279351,18445526
233037,1917286,10312435
233116,4733607,27126388
233277,48411593,208082132
233310,3266676,9253980
233338,3649367,26448838
233639,4233492,12046859
233648,3170113,28252747
233754,12826732,59054053
233772,85038812,187972465
233897,51359873,131046821
233903,1953223,8139379
233921,605351706,1048659342
233949,5889537,25214671
234030,557927359,672535338
234076,1490896523,5226714331
234085,27899500,227760130
234155,90245783,130776266
234225,,
234359,,
234377,3914846,18406589
234669,28207325,176798841
234696,30638700,41491546
234711,6981525,35684001
234827,135826047,338340589
234845,3622065,61619486
234933,13776596,118781598
234951,20626220,65442331
234979,14644717,83133284
235097,63551233,297722781
235103,24792679,98039380
235149,31686100,121280924
235167,33449730,190136969
235237,12550579,90626032
235334,3465042,49393098
235343,53953567,101126485
235431,19866983,64158423
235671,8980236,34449375
235699,3578355,56459387
235750,4986082,57823713
236072,32990399,32549311
236188,9642265,110359730
236258,3725525,55794391
236382,4663014,47524934
236504,4396558,59345560
236513,17587748,89700111
236610,21661596,49224052
236638,10968085,74858373
236656,10700112,118586518
236692,11968122,97701125
236708,13576321,78689034
236753,13238069,80766125
236887,6756209,48536430
236939,535262931,1549607910
236948,1806645501,5193668773
236975,9393529,24035041
237011,119831904,409788893
237039,5795655,70700295
237109,4378072,100725429
237215,4246166,15721901
237242,,
237330,14728780,45887238
237367,77596771,61937745
237385,35468226,26121446
237473,,
237491,,
237525,141479588,312580880
237561,,
237686,9512480,16736441
237729,,
237792,60994866,81278295
237817,5831815,26278838
237844,,
237880,16141088,82695561
237899,16966520,21534459
237932,22225749,34302303
238014,2863827,34108881
238032,620526969,742172953
238263,93830067,89102825
238397,21706705,25966193
238722,75228253,53491926
238759,42064881,40656521
239008,24130368,13584987
239220,28209672,13198771
239248,,
239372,33704069,43876322
239442,12793340,17271759
239460,31733373,49211421
239488,56527665,66813107
239910,46028835,12774721
240055,10218912,46230104
240116,26567544,46993064
240125,43104704,72350271
240170,61998750,30959266
240189,93087499,185695659
240198,21204180,26253162
240268,31564382,162909152
240277,19622544,127553649
240329,55843792,208592733
240365,73825766,177648466
240374,59781495,91805174
240417,53174667,156170580
240426,27921768,81448323
240435,17523039,99301470
240444,911233441,2755876968
240453,99040411,495796570
240462,77047508,122835131
240471,41819971,114882396
240480,85077976,152914936
240505,42897115,51329768
240514,8487604,35202836
240596,3319719,17335799
240620,33099010,59954436
240657,13260478,32665810
240666,21742179,65090918
240693,12248111,76127269
240727,164132382,824567517
240736,6488792,5249029
240745,5312816,26578064
240754,26665792,88925179
240790,2966971,16583295
241720,,
241766,9913885,75995121
241951,1437777,10396261
242042,,
242556,,
242565,,
242583,,
243106,5569786,3684957
243115,20547691,0
243133,63184677,753300
243142,29218211,394068
243151,52347172,0
243160,183113992,358962193
243179,41235101,0
243188,27181140,2507009
243197,161982878,0
243203,193044325,919561
243212,17127916,872160
243221,261532519,0
243638,4922740,22579329
243647,1449158,4397851
243665,55933975,72901838
243780,1042745369,2827283691
243799,,
244437,98730632,91382010
244446,2638922,31861328
245625,1529865,14385695
245999,,
246017,,
246071,,
246354,,
246813,2615457,36234944
247083,3240841,-1097124
247603,3164669,38498594
247737,250632,5666994
247834,75068056,369214446
247940,,
248606,,
248624,,
248633,,
248776,859133,18406569
248925,,
250993,,
251260,27815801,74432745
260336,,
260363,,
260372,885885,8748428
260381,28266256,45656480
261375,,
261773,,
262031,47721982,47318283
262129,41592067,60984441
363165,,
363563,52960050,95918840
363633,1112585,17848218
364016,,
364025,,
364548,,
364575,,
364618,,
364627,,
364636,,
364946,,
364964,,
365198,,
365213,,
365240,,
365374,,
365383,,
365480,,
365763,,
366340,2393925,13716802
366395,284993870,-85219039
366401,236247137,42300963
366447,1065111,11339512
366465,909355,17084775
366623,,
366632,,
366711,104506126,211200514
367459,23842837,34408722
367875,,
367972,,
368160,,
368364,,
368407,,
368647,,
368799,,
368911,1595341,23525213
369109,,
369419,,
369668,,
371690,,
372082,,
373711,,
374112,,
374592,,
375373,,
375407,,
375568,,
375656,,
375683,,
375692,,
375966,,
376695,2855701,16958641
377485,,
379621,,
380359,393626,9642692
380368,7420000,21781000
380377,1627543,13915649
381529,,
382258,,
382416,,
383084,,
383190,3185550,22795674
383312,,
383330,,
383367,,
383525,,
383996,848692,5294459
384333,,
384342,112974094,49013810
389860,,
390905,,
391333,,
395362,22530789,22584287
399212,,
403469,,
403478,,
403487,,
404426,18475568,22182275
404480,17839593,56432791
405872,9530463,-1772901
406325,,
406361,,
406422,,
407452,,
407489,,
407504,,
407513,,
407522,,
407577,,
407595,,
407832,,
408394,9180163,12765470
409120,,
409315,83956726,229691712
409379,5257997,13642636
409537,,
409591,,
409698,88368171,279982892
412535,,
413176,,
413626,2034700,7743389
413802,227877,941745
414911,4717764,9390484
416801,,
417105,,
417123,,
417150,,
417178,,
417187,,
417211,,
417248,,
417257,,
417275,,
417442,,
417628,,
417637,,
417646,,
417655,,
417673,,
417682,,
417716,,
417831,,
417868,,
417886,,
417910,,
417947,,
417983,,
417992,,
418001,,
418010,,
418029,,
418038,,
418056,,
418065,,
418083,,
418199,,
418205,,
418223,,
418250,,
418278,,
418287,,
418296,,
418302,,
418320,,
418339,,
418348,,
418357,,
418409,,
418427,,
418445,,
418454,,
418481,,
418506,,
418515,,
418524,,
418533,,
418542,,
418560,,
418588,,
418603,,
418612,,
418676,,
419031,,
419095,,
419226,,
419332,,
419420,,
419484,,
420398,,
420431,616352,7172705
420440,4453185,8229656
420468,,
420538,12000250,25064730
420556,23505604,21414898
420723,11451732,9409779
420802,0,999299
421540,,
421559,,
421717,,
423652,23700081,13214152
427991,,
428019,,
428392,9007537,16991925
428426,498904020,192862681
430500,,
430795,,
430883,,
430908,,
430971,,
431017,,
431105,,
431169,,
431187,,
431196,,
431202,,
431266,,
431275,,
431558,,
431691,,
431707,,
431716,,
431770,,
431877,,
432144,24026337,406160177
433040,,
433068,,
433138,,
433174,69213,3750533
433660,157846709,342901582
434061,6969180,5358429
434584,1147466,3170484
434672,28469022,129613250
435000,152280958,358343046
436304,2100468,-1020458
437103,13066334,27868100
438665,411049853,170309383
438708,2085359,8998863
439145,10287486,65633373
439154,3029817,11239345
439190,3612228,118777028
439622,,
440217,,
440244,13078094,22410729
440402,7192349,21416835
440624,4908756,2442499
440730,,
441070,508879,456904
441210,,
441317,,
441335,,
441353,,
441414,,
441593,,
441672,,
441760,8052029,22613418
441894,,
441900,2835000,38174000
441937,294254582,206365622
442833,,
443368,10868494,38038713
443492,10032248,20730143
443711,77341569,26981297
444219,,
444459,,
444954,5176170,15901522
445018,2964632,641896
445188,,
445674,3299439,3410259
446206,,
446349,,
446419,,
446774,3259751,9339838
446978,10885581,400075
447582,4416762,11499332
447689,44725614,37753782
448248,,
448336,143989,64463
448594,,
448637,119237918,76589350
448840,4887724,83610320
449357,,
449816,,
451325,,
451459,,
451583,,
451671,2130983,44708900
451680,2239162,75138383
452106,,
455114,5229213,43591020
455512,39106346,16383009
457378,,
457387,,
457615,,
457624,,
457873,,
457907,,
457943,,
457989,,
459329,,
459408,,
460604,,
