UNITID,EFFYLEV,EFYTOTLT
100654,1,6173
100654,2,5108
100654,4,1065
100663,1,20395
100663,2,12673
100663,4,7722
100690,1,1097
100690,2,570
100690,4,527
100706,1,9102
100706,2,7194
100706,4,1908
100724,1,6625
100724,2,5493
100724,4,1132
100751,1,30613
100751,2,24965
100751,4,5648
100760,1,3423
100760,2,3423
100812,1,4918
100812,2,4918
100830,1,7227
100830,2,5941
100830,4,1286
100858,1,26464
100858,2,21039
100858,4,5425
100937,1,1611
100937,2,1566
100937,4,45
101028,1,2737
101028,2,2737
101073,1,728
101073,2,728
101116,1,1073
101116,2,1002
101116,4,71
101143,1,4112
101143,2,4112
101161,1,6557
101161,2,6557
101189,1,4075
101189,2,3506
101189,4,569
101240,1,10019
101240,2,10019
101286,1,6841
101286,2,6841
101295,1,8758
101295,2,8758
101301,1,3229
101301,2,3229
101365,1,716
101365,2,716
101435,1,1233
101435,2,1233
101453,1,124
101453,2,83
101453,4,41
101462,1,2068
101462,2,2068
101471,1,1053
101471,2,1053
101480,1,11379
101480,2,9411
101480,4,1968
101499,1,2128
101499,2,2128
101505,1,13888
101505,2,13888
101514,1,16717
101514,2,16717
101541,1,342
101541,2,342
101569,1,6637
101569,2,6637
101587,1,6390
101587,2,2233
101587,4,4157
101602,1,2572
101602,2,2572
101648,1,548
101648,2,548
101675,1,2089
101675,2,2089
101693,1,1984
101693,2,1733
101693,4,251
101709,1,3493
101709,2,2833
101709,4,660
101736,1,6262
101736,2,6262
101879,1,8685
101879,2,7206
101879,4,1479
101897,1,4657
101897,2,4657
101912,1,2009
101912,2,1948
101912,4,61
101949,1,2066
101949,2,2066
101958,1,133
101958,2,133
101994,1,1111
101994,2,1111
102030,1,5911
102030,2,5911
102049,1,5145
102049,2,3086
102049,4,2059
102058,1,567
102058,2,536
102058,4,31
102067,1,9689
102067,2,9689
102076,1,3387
102076,2,3387
102094,1,17372
102094,2,13550
102094,4,3822
102234,1,1749
102234,2,1451
102234,4,298
102261,1,239
102261,2,239
102270,1,1185
102270,2,1185
102298,1,780
102298,2,780
102313,1,2582
102313,2,2582
102368,1,38040
102368,2,27773
102368,4,10267
102377,1,3833
102377,2,3240
102377,4,593
102395,1,1079
102395,2,251
102395,4,828
102429,1,6624
102429,2,6624
102553,1,27909
102553,2,26356
102553,4,1553
102580,1,37
102580,2,37
102614,1,15664
102614,2,14189
102614,4,1475
102632,1,6436
102632,2,5808
102632,4,628
102669,1,889
102669,2,588
102669,4,301
102711,1,1103
102711,2,1103
102845,1,3656
102845,2,3656
103361,1,2265
103361,2,2265
103501,1,555
103501,2,555
103644,1,12245
103644,2,12245
103723,1,1856
103723,2,1856
103732,1,173
103732,2,173
103741,1,390
103741,2,390
103778,1,1487
103778,2,4
103778,4,1483
103787,1,102
103787,2,102
103811,1,1563
103811,2,1563
103893,1,1818
103893,2,1818
103909,1,1965
103909,2,1965
103927,1,1393
103927,2,1393
103945,1,349
103945,2,349
103954,1,125
103954,2,125
103963,1,2552
103963,2,2552
104090,1,2688
104090,2,2688
104151,1,76438
104151,2,60204
104151,4,16234
104160,1,12453
104160,2,12453
104179,1,42783
104179,2,32902
104179,4,9881
104188,1,333
104188,2,333
104294,1,404
104294,2,404
104346,1,15029
104346,2,15029
104364,1,1153
104364,2,1153
104391,1,90
104391,2,90
104425,1,14633
104425,2,14633
104434,1,108
104434,2,108
104443,1,305
104443,2,305
104504,1,309
104504,2,309
104531,1,3510
104531,2,2716
104531,4,794
104568,1,425
104568,2,425
104577,1,10247
104577,2,10247
104586,1,1782
104586,2,1733
104586,4,49
104665,1,31
104665,2,9
104665,4,22
104708,1,32378
104708,2,32378
104717,1,53018
104717,2,30101
104717,4,22917
104805,1,1762
104805,2,1762
104911,1,297
104911,2,297
104984,1,761
104984,2,761
105118,1,1046
105118,2,1046
105127,1,154
105127,2,154
105145,1,14159
105145,2,14159
105154,1,41759
105154,2,41759
105163,1,896
105163,2,896
105172,1,1394
105172,2,1394
105206,1,9622
105206,2,9622
105215,1,3328
105215,2,3328
105297,1,2829
105297,2,2829
105330,1,25813
105330,2,19586
105330,4,6227
105349,1,9473
105349,2,9473
105367,1,2882
105367,2,1158
105367,4,1724
105428,1,20247
105428,2,20247
105482,1,248
105482,2,248
105516,1,8134
105516,2,5719
105516,4,2415
105525,1,61012
105525,2,61012
105534,1,2381
105534,2,2381
105543,1,1795
105543,2,1795
105589,1,1460
105589,2,987
105589,4,473
105659,1,1114
105659,2,1114
105668,1,52634
105668,2,52634
105677,1,61
105677,2,61
105701,1,113
105701,2,113
105747,1,17492
105747,2,17492
105792,1,9490
105792,2,9490
105899,1,435
105899,2,435
105987,1,1083
105987,2,1083
106041,1,3089
106041,2,3089
106102,1,4813
106102,2,3609
106102,4,1204
106111,1,494
106111,2,494
106148,1,13438
106148,2,13438
106245,1,16578
106245,2,13035
106245,4,3543
106263,1,3252
106263,2,1264
106263,4,1988
106281,1,79
106281,2,79
106306,1,1048
106306,2,1048
106315,1,54
106315,2,54
106324,1,64
106324,2,64
106342,1,650
106342,2,650
106351,1,182
106351,2,182
106360,1,55
106360,2,55
106397,1,22690
106397,2,17692
106397,4,4998
106412,1,4258
106412,2,4051
106412,4,207
106449,1,6845
106449,2,6845
106458,1,16288
106458,2,11912
106458,4,4376
106467,1,10918
106467,2,9977
106467,4,941
106485,1,4504
106485,2,4288
106485,4,216
106494,1,97
106494,2,97
106546,1,1199
106546,2,1199
106607,1,100
106607,2,100
106625,1,3464
106625,2,3464
106704,1,13766
106704,2,11585
106704,4,2181
106713,1,820
106713,2,820
106795,1,2261
106795,2,2261
106810,1,180
106810,2,180
106829,1,343
106829,2,343
106883,1,2292
106883,2,2292
106892,1,473
106892,2,473
106908,1,334
106908,2,334
106980,1,5122
106980,2,5122
106999,1,2315
106999,2,2315
107044,1,7398
107044,2,4568
107044,4,2830
107071,1,4463
107071,2,3559
107071,4,904
107080,1,1483
107080,2,1476
107080,4,7
107099,1,115
107099,2,115
107123,1,72
107123,2,72
107141,1,2431
107141,2,1933
107141,4,498
107211,1,38
107211,2,38
107220,1,608
107220,2,608
107275,1,37
107275,2,37
107293,1,128
107293,2,128
107318,1,3806
107318,2,3806
107327,1,3168
107327,2,3168
107363,1,102
107363,2,102
107442,1,107
107442,2,107
107460,1,3221
107460,2,3221
107488,1,317
107488,2,317
107512,1,1528
107512,2,1528
107521,1,2081
107521,2,2081
107549,1,1892
107549,2,1892
107558,1,659
107558,2,659
107585,1,3288
107585,2,3288
107600,1,736
107600,2,736
107619,1,3020
107619,2,3020
107637,1,4072
107637,2,4072
107655,1,56
107655,2,56
107664,1,15185
107664,2,15185
107725,1,2229
107725,2,2229
107743,1,1595
107743,2,1595
107789,1,129
107789,2,129
107831,1,175
107831,2,175
107877,1,709
107877,2,709
107974,1,2587
107974,2,2587
107983,1,3918
107983,2,3247
107983,4,671
107992,1,3751
107992,2,3751
108065,1,29
108065,2,29
108092,1,9086
108092,2,9086
108199,1,16407
108199,2,16407
108232,1,21049
108232,2,14917
108232,4,6132
108250,1,1533
108250,2,1533
108269,1,122
108269,4,122
108348,1,94
108348,2,94
108649,1,308
108649,2,308
108667,1,12736
108667,2,12736
108807,1,17967
108807,2,17967
108852,1,208
108852,2,208
108861,1,94
108861,4,94
108870,1,338
108870,4,338
108977,1,50
108977,2,50
109013,1,93
109013,2,93
109040,1,2136
109040,2,2136
109086,1,135
109086,2,100
109086,4,35
109208,1,55644
109208,2,55644
109332,1,1006
109332,2,1006
109350,1,20654
109350,2,20654
109651,1,2135
109651,2,1957
109651,4,178
109721,1,1063
109721,2,1063
109730,1,126
109730,2,126
109785,1,10558
109785,2,5358
109785,4,5200
109819,1,28131
109819,2,28131
109891,1,33
109891,2,33
109907,1,8411
109907,2,8411
109934,1,377
109934,2,377
110051,1,604
110051,2,492
110051,4,112
110060,1,303
110060,2,185
110060,4,118
110097,1,6658
110097,2,4385
110097,4,2273
110185,1,1420
110185,2,1364
110185,4,56
110194,1,379
110194,2,379
110219,1,1111
110219,2,1111
110246,1,18435
110246,2,18435
110307,1,336
110307,4,336
110316,1,1483
110316,2,124
110316,4,1359
110334,1,21877
110334,2,21877
110361,1,4934
110361,2,3711
110361,4,1223
110370,1,1843
110370,2,1417
110370,4,426
110398,1,1376
110398,4,1376
110404,1,2244
110404,2,982
110404,4,1262
110413,1,4477
110413,2,2613
110413,4,1864
110422,1,20194
110422,2,18864
110422,4,1330
110468,1,4656
110468,2,205
110468,4,4451
110486,1,9576
110486,2,7668
110486,4,1908
110495,1,9034
110495,2,7314
110495,4,1720
110510,1,19729
110510,2,16049
110510,4,3680
110529,1,23217
110529,2,20757
110529,4,2460
110538,1,17892
110538,2,16408
110538,4,1484
110547,1,15924
110547,2,12191
110547,4,3733
110556,1,21755
110556,2,18429
110556,4,3326
110565,1,38551
110565,2,32621
110565,4,5930
110574,1,16879
110574,2,13157
110574,4,3722
110583,1,37291
110583,2,30589
110583,4,6702
110592,1,23515
110592,2,18007
110592,4,5508
110608,1,38028
110608,2,31362
110608,4,6666
110617,1,30873
110617,2,25941
110617,4,4932
110635,1,38970
110635,2,28257
110635,4,10713
110644,1,33513
110644,2,26681
110644,4,6832
110653,1,29237
110653,2,23806
110653,4,5431
110662,1,41488
110662,2,29055
110662,4,12433
110671,1,20895
110671,2,18298
110671,4,2597
110680,1,30797
110680,2,25226
110680,4,5571
110699,1,3166
110699,4,3166
110705,1,24702
110705,2,21405
110705,4,3297
110714,1,18296
110714,2,16625
110714,4,1671
110778,1,550
110778,4,550
110875,1,138
110875,2,138
110918,1,30
110918,2,30
110945,1,1929
110945,2,1929
111009,1,1326
111009,2,1326
111054,1,229
111054,2,229
111081,1,1415
111081,2,906
111081,4,509
111188,1,836
111188,2,836
111391,1,1036
111391,4,1036
111434,1,11597
111434,2,11597
111461,1,35691
111461,2,35691
111513,1,379
111513,2,379
111638,1,847
111638,2,847
111708,1,442
111708,2,442
111717,1,1067
111717,2,1067
111726,1,530
111726,2,530
111744,1,344
111744,2,344
111762,1,222
111762,2,222
111771,1,351
111771,2,351
111799,1,345
111799,2,345
111887,1,31480
111887,2,31480
111896,1,11166
111896,2,11166
111920,1,23010
111920,2,23010
111939,1,29057
111939,2,29057
111948,1,6933
111948,2,4838
111948,4,2095
111966,1,304
111966,2,267
111966,4,37
112075,1,3491
112075,2,1563
112075,4,1928
112084,1,484
112084,2,460
112084,4,24
112127,1,96
112127,4,96
112172,1,17335
112172,2,17335
112190,1,49181
112190,2,49181
112251,1,2517
112251,4,2517
112260,1,1268
112260,2,1248
112260,4,20
112288,1,595
112288,2,595
112312,1,411
112312,2,75
112312,4,336
112367,1,2586
112367,2,2586
112385,1,18520
112385,2,18520
112394,1,241
112394,2,241
112446,1,979
112446,2,833
112446,4,146
112455,1,136
112455,2,136
112525,1,2781
112525,4,2781
112561,1,6244
112561,2,6244
112570,1,412
112570,2,412
112686,1,12776
112686,2,12776
112783,1,1083
112783,2,1083
112826,1,13037
112826,2,13037
113096,1,24049
113096,2,24049
113111,1,8529
113111,2,8529
113193,1,17077
113193,2,17077
113218,1,15432
113218,2,15432
113227,1,291
113227,2,291
113236,1,22320
113236,2,22320
113333,1,40906
113333,2,40906
113397,1,776
113397,2,776
113449,1,295
113449,2,295
113537,1,44
113537,2,27
113537,4,17
113573,1,13154
113573,2,13154
113582,1,393
113582,2,393
113607,1,16554
113607,2,13765
113607,4,2789
